,brand,model,year,Energy,gear_box,Trim,price
18491,AUDI,Q5,2022,Diesel,Automatique,Sportback 40 TDI 204 S tronic 7 Quattro S line,74325
18492,CITROËN,C4,2021,Diesel,Automatique,BlueHDi 130 S&S EAT8 Feel Pack,25490
18493,SUZUKI,Vitara,2021,Essence,Automatique,1.4 Boosterjet Hybrid Auto Style,24490
18494,OPEL,Corsa,2021,Essence,Manuelle,1.2 Turbo 100 ch BVM6 Edition,16999
18495,DACIA,Sandero,2019,Essence,Manuelle,TCe 90 Stepway,13499
18496,VOLKSWAGEN,T-Cross,2022,Essence,Automatique,1.0 TSI 110 Start/Stop DSG7 R-Line,27999
18497,AUDI,A3,2021,Essence,Automatique,Sportback 30 TFSI 110 S tronic 7 Design Luxe,35500
18498,TOYOTA,Corolla,2022,Electrique,Automatique,Touring Sports Hybride 122h,29490
18499,AUDI,Q2,2021,Essence,Manuelle,30 TFSI 110 BVM6 Design,28900
18500,TOYOTA,Corolla,2022,Electrique,Automatique,Touring Sports Hybride 122h,29490
18501,VOLKSWAGEN,T-Roc,2021,Diesel,Automatique,2.0 TDI 150 Start/Stop DSG7 Carat,32990
18502,DS,Ds 3,2019,Diesel,Manuelle,DS3 Crossback BlueHDi 100 S&S BVM6 Performance Line+,23990
18503,OPEL,Grandland X,2020,Essence,Manuelle,1.2 Turbo 130 ch ECOTEC Ultimate,24966
18504,TOYOTA,Yaris,2022,Essence,Manuelle,GR 1.6L,55990
18505,FIAT,500,2022,Electrique,Automatique,C e 118ch La Prima,34990
18506,FIAT,Tipo,2020,Essence,Manuelle,1.4 95ch S/S Street MY20 4p,13999
18507,TOYOTA,Aygo,2021,Essence,Manuelle,1.0 VVT-i 72ch x-play 5p MY20,11980
18508,TOYOTA,Yaris,2021,Essence,Manuelle,70 VVT-i France Business 5p,16990
18509,OPEL,Grandland X,2018,Essence,Automatique,1.2 Turbo 130ch Business Edition BVA,20490
18510,FIAT,Scudo,2022,Diesel,Manuelle,FOURGON 2.0 MULTIJET 145 LONG BUSINESS,32760
18511,JEEP,Compass,2021,Diesel,Manuelle,1.6 I MultiJet II 120 ch BVM6 Limited,29990
18512,FORD,Explorer,2020,Electrique,Automatique,3.0 E 457 ch Parallel PHEV BVA10 Intelligent AWD ST-Line,59790
18513,MERCEDES,Classe A,2021,Diesel,Robotisée,180d 116ch Progressive Line 8G-DCT,30900
18514,BMW,X3,2022,Hybride,Automatique,xDrive30e 292ch M Sport,72990
18515,SKODA,Fabia,2019,Essence,Manuelle,Break 1.0 TSI 95ch Edition Euro6d-T,15990
18516,FORD,Ecosport,2022,Essence,Manuelle,1.0 EcoBoost 125ch Active 6cv,23750
18517,KIA,Sportage,2018,Diesel,Manuelle,1.6 CRDi 115ch ISG Active 4x2,19990
18518,RENAULT,Captur,2019,Essence,Robotisée,1.3 TCe 150ch FAP Intens EDC,17990
18519,SMART,Fortwo,2020,Electrique,Automatique,Coupe Electrique 82ch passion,15990
18520,OPEL,Combo,2021,Diesel,Manuelle,Life L1H1 1.5 D 100ch Edition BVM6,24490
18521,RENAULT,Kadjar,2019,Diesel,Manuelle,1.5 Blue dCi 115ch Intens 112g,21390
18522,MERCEDES,Classe A,2019,Essence,Manuelle,180 136ch Progressive Line,26800
18523,AUDI,Q5,2022,Diesel,Robotisée,40 TDI 204ch Design quattro S tronic 7,55990
18524,SEAT,Arona,2019,Diesel,Manuelle,1.6 TDI 95ch Start/Stop Style Euro6d-T 102g,16490
18525,MINI,Clubman,2019,Essence,Robotisée,Cooper 136ch Kensington BVA7 Euro6d-T,26990
18526,PEUGEOT,308,2019,Diesel,Manuelle,SW 1.5 BlueHDi 130ch S&S Active Business,17990
18527,MINI,Mini,2019,Diesel,Robotisée,5 Portes Cooper D 116ch Heddon Street BVA7,21299
18528,CITROËN,Berlingo,2018,Diesel,Manuelle,M 1.6 BlueHDi 100 S&S Business,16990
18529,OPEL,Corsa,2020,Essence,Manuelle,1.2 75ch Edition,14790
